Block-Enabled Plugins,Section block,https://wordpress.org/plugins/klarity-section-block/,Klarity,0,0
Block-Enabled Plugins,Calculated Fields Form,https://wordpress.org/plugins/calculated-fields-form/,CodePeople,485,1
Block-Enabled Plugins,Gosign – Simple Teaser Block,https://wordpress.org/plugins/gosign-simple-teaser-block/,Gosign.de,0,0
Block-Enabled Plugins,Testimonials Block,https://wordpress.org/plugins/testimonials-block/,WPDevSquad,0,0
Featured Plugins,Akismet Anti-Spam,https://wordpress.org/plugins/akismet/,Automattic,828,1
Featured Plugins,Classic Editor,https://wordpress.org/plugins/classic-editor/,WordPress Contributors,690,1
Featured Plugins,Jetpack by WordPress.com,https://wordpress.org/plugins/jetpack/,Automattic,1421,1
Featured Plugins,bbPress,https://wordpress.org/plugins/bbpress/,The bbPress Community,293,1
Beta Plugins,Gutenberg,https://wordpress.org/plugins/gutenberg/,Gutenberg Team,2850,1
Beta Plugins,Design Experiments,https://wordpress.org/plugins/design-experiments/,The WordPress.org Design Team,1,1
Beta Plugins,Two-Factor,https://wordpress.org/plugins/two-factor/,Plugin Contributors,89,1
Beta Plugins,Application Passwords,https://wordpress.org/plugins/application-passwords/,George Stephanis,18,1
Popular Plugins,Contact Form 7,https://wordpress.org/plugins/contact-form-7/,Takayuki Miyoshi,1648,1
Popular Plugins,Yoast SEO,https://wordpress.org/plugins/wordpress-seo/,Team Yoast,26801,1
Popular Plugins,Akismet Anti-Spam,https://wordpress.org/plugins/akismet/,Automattic,828,1
Popular Plugins,Classic Editor,https://wordpress.org/plugins/classic-editor/,WordPress Contributors,690,1
Block-Enabled Plugins,Gutenberg Blocks Templates – 50+ Free Gutenberg Block Designs,https://wordpress.org/plugins/design/,wpdesignhub,4,1
Block-Enabled Plugins,CP Contact Form with PayPal,https://wordpress.org/plugins/cp-contact-form-with-paypal/,"CodePeople, paypaldev",55,1
Block-Enabled Plugins,10Web Social Social Post Feed,https://wordpress.org/plugins/wd-facebook-feed/,10Web,174,1
Block-Enabled Plugins,Advance Block Extend,https://wordpress.org/plugins/advance-block-extend/,Jaydip,0,0
Featured Plugins,Akismet Anti-Spam,https://wordpress.org/plugins/akismet/,Automattic,828,1
Featured Plugins,Classic Editor,https://wordpress.org/plugins/classic-editor/,WordPress Contributors,690,1
Featured Plugins,Jetpack by WordPress.com,https://wordpress.org/plugins/jetpack/,Automattic,1421,1
Featured Plugins,bbPress,https://wordpress.org/plugins/bbpress/,The bbPress Community,293,1
Beta Plugins,Gutenberg,https://wordpress.org/plugins/gutenberg/,Gutenberg Team,2850,1
Beta Plugins,Design Experiments,https://wordpress.org/plugins/design-experiments/,The WordPress.org Design Team,1,1
Beta Plugins,Two-Factor,https://wordpress.org/plugins/two-factor/,Plugin Contributors,89,1
Beta Plugins,Application Passwords,https://wordpress.org/plugins/application-passwords/,George Stephanis,18,1
Popular Plugins,Contact Form 7,https://wordpress.org/plugins/contact-form-7/,Takayuki Miyoshi,1648,1
Popular Plugins,Yoast SEO,https://wordpress.org/plugins/wordpress-seo/,Team Yoast,26801,1
Popular Plugins,Akismet Anti-Spam,https://wordpress.org/plugins/akismet/,Automattic,828,1
Popular Plugins,Classic Editor,https://wordpress.org/plugins/classic-editor/,WordPress Contributors,690,1
Block-Enabled Plugins,Gutenberg Blocks Templates – 50+ Free Gutenberg Block Designs,https://wordpress.org/plugins/design/,wpdesignhub,4,1
Block-Enabled Plugins,CP Contact Form with PayPal,https://wordpress.org/plugins/cp-contact-form-with-paypal/,"CodePeople, paypaldev",55,1
Block-Enabled Plugins,10Web Social Social Post Feed,https://wordpress.org/plugins/wd-facebook-feed/,10Web,174,1
Block-Enabled Plugins,Advance Block Extend,https://wordpress.org/plugins/advance-block-extend/,Jaydip,0,0
Featured Plugins,Akismet Anti-Spam,https://wordpress.org/plugins/akismet/,Automattic,828,1
Featured Plugins,Classic Editor,https://wordpress.org/plugins/classic-editor/,WordPress Contributors,690,1
Featured Plugins,Jetpack by WordPress.com,https://wordpress.org/plugins/jetpack/,Automattic,1421,1
Featured Plugins,bbPress,https://wordpress.org/plugins/bbpress/,The bbPress Community,293,1
Beta Plugins,Gutenberg,https://wordpress.org/plugins/gutenberg/,Gutenberg Team,2850,1
Beta Plugins,Design Experiments,https://wordpress.org/plugins/design-experiments/,The WordPress.org Design Team,1,1
Beta Plugins,Two-Factor,https://wordpress.org/plugins/two-factor/,Plugin Contributors,89,1
Beta Plugins,Application Passwords,https://wordpress.org/plugins/application-passwords/,George Stephanis,18,1
Popular Plugins,Contact Form 7,https://wordpress.org/plugins/contact-form-7/,Takayuki Miyoshi,1648,1
Popular Plugins,Yoast SEO,https://wordpress.org/plugins/wordpress-seo/,Team Yoast,26801,1
Popular Plugins,Akismet Anti-Spam,https://wordpress.org/plugins/akismet/,Automattic,828,1
Popular Plugins,Classic Editor,https://wordpress.org/plugins/classic-editor/,WordPress Contributors,690,1
